x;y
120;121
120;117
120;112
120;107
117;101
115;99
113;98
112;96
107;93
103;93
99;93
95;93
88;93
86;93
90;93
94;93
102;93
106;93
108;93
104;92
97;85
93;82
90;78
86;75
78;67
73;62
68;58
59;48
54;43
50;40
47;36
40;30
36;26
33;23
29;21
24;18
15;14
11;12
6;9
2;6
-7;0
-11;-2
-16;-5
-20;-8
-26;-14
-30;-16
-33;-19
-36;-21
-42;-27
-45;-32
-48;-36
-52;-41
-58;-50
-61;-55
-64;-58
-67;-61
-74;-68
-77;-71
-79;-74
-82;-79
-87;-89
-89;-93
-91;-98
-93;-103
-98;-107
-100;-109
-102;-111
-104;-113
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
-104;-116
