x;y
-102;-116
-99;-116
-95;-116
-91;-116
-83;-113
-79;-111
-75;-109
-70;-107
-62;-103
-58;-103
-55;-103
-51;-103
-44;-103
-40;-103
-37;-103
-33;-103
-26;-103
-22;-103
-18;-103
-11;-103
-8;-103
-4;-103
2;-103
6;-103
10;-103
13;-103
21;-103
24;-103
28;-103
32;-103
35;-103
43;-103
46;-103
50;-103
54;-103
61;-103
64;-103
68;-103
75;-103
79;-103
83;-103
90;-103
94;-103
97;-103
101;-103
105;-103
114;-103
119;-103
128;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
132;-103
