x;y
168;-102
167;-104
165;-106
162;-109
160;-111
159;-113
157;-113
156;-113
152;-113
151;-113
149;-113
147;-113
146;-113
142;-113
140;-113
134;-107
130;-103
127;-100
124;-97
117;-91
113;-89
110;-88
106;-86
103;-84
99;-82
92;-77
85;-70
82;-67
78;-63
74;-59
69;-54
60;-45
55;-40
50;-35
45;-30
41;-26
36;-21
26;-11
17;-2
12;2
7;7
2;12
-1;16
-6;21
-17;32
-23;38
-28;43
-40;55
-46;61
-50;61
-54;61
-61;61
-65;61
-69;61
-76;68
-79;71
-83;75
-86;78
-90;82
-93;84
-96;85
-103;88
-110;91
-113;92
-116;92
-119;92
-121;92
-124;92
-130;92
-131;92
-133;92
-136;92
-137;92
-139;92
-139;94
-139;99
-139;102
-139;104
-139;107
-139;112
-139;121
-139;126
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
-139;130
