x;y
-137;130
-130;130
-123;130
-119;130
-115;130
-112;130
-108;130
-101;130
-97;130
-94;130
-90;130
-86;130
-79;130
-75;130
-72;130
-68;130
-61;130
-57;130
-53;130
-46;130
-42;130
-39;130
-35;130
-32;130
-28;130
-20;130
-17;130
-10;130
-6;130
-2;130
0;130
4;130
8;130
15;130
19;130
22;130
26;130
33;130
37;130
39;130
35;130
28;130
24;130
21;130
14;130
10;130
3;130
0;130
-3;130
0;130
3;130
6;130
14;130
17;130
21;130
25;130
32;130
36;130
39;130
47;130
50;130
54;130
57;130
61;130
68;130
72;130
76;130
79;130
87;130
90;130
94;130
101;130
105;130
109;130
112;130
116;130
120;130
127;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
130;130
131;130
134;130
138;130
140;130
149;130
152;130
156;130
159;130
160;130
