date;time;x;y;fx;fy
23/12/2022;12:09:25.105;120;-120;0;0
23/12/2022;12:09:25.152;120;-120;0;0
23/12/2022;12:09:25.215;120;-120;0;0
23/12/2022;12:09:25.277;120;-120;0;0
23/12/2022;12:09:25.340;120;-120;0;0
23/12/2022;12:09:25.402;120;-120;0;0
23/12/2022;12:09:25.465;120;-120;0;0
23/12/2022;12:09:25.527;120;-120;0;0
23/12/2022;12:09:25.590;120;-120;0;0
23/12/2022;12:09:25.652;120;-120;0;0
23/12/2022;12:09:25.715;120;-120;0;0
23/12/2022;12:09:25.777;120;-120;0;0
23/12/2022;12:09:25.840;120;-120;0;0
23/12/2022;12:09:25.902;120;-120;0;0
23/12/2022;12:09:25.965;120;-120;0;0
23/12/2022;12:09:26.027;120;-120;0;0
23/12/2022;12:09:26.090;120;-120;0;0
23/12/2022;12:09:26.152;120;-120;0;0
23/12/2022;12:09:26.215;120;-120;0;0
23/12/2022;12:09:26.277;120;-118;0;124
23/12/2022;12:09:26.340;120;-116;0;124
23/12/2022;12:09:26.402;120;-115;0;124
23/12/2022;12:09:26.465;120;-111;0;124
23/12/2022;12:09:26.527;120;-110;0;124
23/12/2022;12:09:26.590;120;-107;0;539
23/12/2022;12:09:26.652;120;-103;0;539
23/12/2022;12:09:26.715;120;-96;0;539
23/12/2022;12:09:26.777;120;-92;0;539
23/12/2022;12:09:26.840;120;-89;0;539
23/12/2022;12:09:26.902;120;-85;0;552
23/12/2022;12:09:26.965;120;-78;0;552
23/12/2022;12:09:27.027;120;-74;0;552
23/12/2022;12:09:27.090;120;-70;0;552
23/12/2022;12:09:27.152;120;-67;0;552
23/12/2022;12:09:27.215;120;-59;0;577
23/12/2022;12:09:27.277;120;-56;0;577
23/12/2022;12:09:27.340;120;-52;0;577
23/12/2022;12:09:27.402;120;-48;0;577
23/12/2022;12:09:27.465;120;-41;0;509
23/12/2022;12:09:27.527;120;-38;0;509
23/12/2022;12:09:27.590;120;-34;0;509
23/12/2022;12:09:27.652;120;-30;0;509
23/12/2022;12:09:27.715;120;-23;0;509
23/12/2022;12:09:27.777;120;-19;0;456
23/12/2022;12:09:27.840;120;-16;0;456
23/12/2022;12:09:27.902;120;-12;0;456
23/12/2022;12:09:27.965;120;-5;0;456
23/12/2022;12:09:28.027;120;-1;0;456
23/12/2022;12:09:28.090;120;2;0;428
23/12/2022;12:09:28.152;120;5;0;428
23/12/2022;12:09:28.215;120;13;0;428
23/12/2022;12:09:28.277;120;16;0;428
23/12/2022;12:09:28.340;120;20;0;428
23/12/2022;12:09:28.402;120;23;0;428
23/12/2022;12:09:28.465;120;31;0;240
23/12/2022;12:09:28.527;120;34;0;240
23/12/2022;12:09:28.590;120;38;0;240
23/12/2022;12:09:28.652;120;42;0;240
23/12/2022;12:09:28.715;120;47;0;0
23/12/2022;12:09:28.777;120;47;0;0
23/12/2022;12:09:28.840;120;47;0;0
23/12/2022;12:09:28.902;120;47;0;0
23/12/2022;12:09:28.965;120;47;0;0
23/12/2022;12:09:29.028;120;47;0;0
23/12/2022;12:09:29.090;120;47;0;0
23/12/2022;12:09:29.153;120;47;0;0
23/12/2022;12:09:29.215;120;47;51;0
23/12/2022;12:09:29.278;120;47;51;0
23/12/2022;12:09:29.340;120;48;51;487
23/12/2022;12:09:29.403;120;52;51;487
23/12/2022;12:09:29.465;120;59;28;487
23/12/2022;12:09:29.527;120;63;28;487
23/12/2022;12:09:29.590;120;66;28;487
23/12/2022;12:09:29.652;120;70;28;619
23/12/2022;12:09:29.715;120;77;28;619
23/12/2022;12:09:29.777;120;81;28;619
23/12/2022;12:09:29.840;120;84;0;619
23/12/2022;12:09:29.902;120;92;0;163
23/12/2022;12:09:29.965;120;94;0;163
23/12/2022;12:09:30.028;120;97;0;163
23/12/2022;12:09:30.090;120;99;0;163
23/12/2022;12:09:30.153;120;102;0;163
23/12/2022;12:09:30.215;120;107;0;163
23/12/2022;12:09:30.278;120;109;0;0
23/12/2022;12:09:30.340;120;109;0;0
23/12/2022;12:09:30.403;120;109;0;0
23/12/2022;12:09:30.465;120;109;0;0
23/12/2022;12:09:30.528;120;109;0;0
23/12/2022;12:09:30.590;120;109;0;0
23/12/2022;12:09:30.653;120;109;0;63
23/12/2022;12:09:30.715;120;109;0;63
23/12/2022;12:09:30.778;120;109;0;63
23/12/2022;12:09:30.840;120;109;0;63
23/12/2022;12:09:30.903;120;109;0;63
23/12/2022;12:09:30.965;120;115;0;381
23/12/2022;12:09:31.028;120;119;0;381
23/12/2022;12:09:31.090;120;123;0;381
23/12/2022;12:09:31.153;120;126;0;381
23/12/2022;12:09:31.215;120;130;0;0
23/12/2022;12:09:31.278;120;130;0;0
23/12/2022;12:09:31.340;120;130;0;0
23/12/2022;12:09:31.403;120;130;0;0
23/12/2022;12:09:31.465;120;130;0;0
23/12/2022;12:09:31.528;120;130;0;0
23/12/2022;12:09:31.590;120;130;0;0
23/12/2022;12:09:31.653;120;130;0;0
23/12/2022;12:09:31.715;120;130;0;0
23/12/2022;12:09:31.778;120;130;0;0
23/12/2022;12:09:31.840;120;130;0;0
23/12/2022;12:09:31.903;120;130;0;0
23/12/2022;12:09:31.965;120;130;0;0
23/12/2022;12:09:32.028;120;130;0;0
23/12/2022;12:09:32.090;120;130;0;0
23/12/2022;12:09:32.153;120;130;0;0
23/12/2022;12:09:32.215;120;130;0;0
23/12/2022;12:09:32.278;120;130;0;0
23/12/2022;12:09:32.340;120;130;0;0
23/12/2022;12:09:32.403;120;130;0;0
23/12/2022;12:09:32.465;120;130;0;0
23/12/2022;12:09:32.528;120;130;0;0
23/12/2022;12:09:32.590;120;130;0;0
23/12/2022;12:09:32.653;120;130;0;-69
23/12/2022;12:09:32.715;120;130;0;-69
23/12/2022;12:09:32.778;120;130;0;-69
23/12/2022;12:09:32.840;120;130;0;-69
23/12/2022;12:09:32.903;120;130;-93;-69
23/12/2022;12:09:32.965;120;121;-93;-243
23/12/2022;12:09:33.028;120;117;-93;-243
23/12/2022;12:09:33.090;120;112;-93;-243
23/12/2022;12:09:33.153;120;107;-93;-243
23/12/2022;12:09:33.215;117;101;-125;-111
23/12/2022;12:09:33.278;115;99;-125;-111
23/12/2022;12:09:33.340;113;98;-125;-111
23/12/2022;12:09:33.403;112;96;-125;-111
23/12/2022;12:09:33.465;107;93;-714;-111
23/12/2022;12:09:33.528;103;93;-714;-65
23/12/2022;12:09:33.590;99;93;-714;-65
23/12/2022;12:09:33.653;95;93;-714;-65
23/12/2022;12:09:33.716;88;93;-714;-65
23/12/2022;12:09:33.778;86;93;-1041;-65
23/12/2022;12:09:33.840;90;93;-1041;-36
23/12/2022;12:09:33.903;94;93;-1041;-36
23/12/2022;12:09:33.965;102;93;-1041;-36
23/12/2022;12:09:34.028;106;93;-1041;-36
23/12/2022;12:09:34.090;108;93;-811;-36
23/12/2022;12:09:34.153;104;92;-811;-211
23/12/2022;12:09:34.216;97;85;-811;-211
23/12/2022;12:09:34.278;93;82;-811;-211
23/12/2022;12:09:34.341;90;78;-811;-211
23/12/2022;12:09:34.403;86;75;-413;-211
