time;x;y;fx;fy
63;120;-120;0;0
126;120;-120;0;0
189;120;-120;0;0
252;120;-120;0;0
315;120;-120;0;0
378;120;-120;0;0
441;120;-120;0;0
504;120;-120;0;0
567;120;-120;0;0
630;120;-120;0;0
693;120;-120;0;0
756;120;-120;0;0
819;120;-120;0;0
882;120;-120;0;0
945;120;-120;0;0
1008;120;-120;0;0
1071;120;-120;0;0
1134;120;-120;0;0
1197;120;-120;0;0
1260;120;-118;0;124
1323;120;-116;0;124
1386;120;-115;0;124
1449;120;-111;0;124
1512;120;-110;0;124
1575;120;-107;0;539
1638;120;-103;0;539
1701;120;-96;0;539
1764;120;-92;0;539
1827;120;-89;0;539
1890;120;-85;0;552
1953;120;-78;0;552
2016;120;-74;0;552
2079;120;-70;0;552
2142;120;-67;0;552
2205;120;-59;0;577
2268;120;-56;0;577
2331;120;-52;0;577
2394;120;-48;0;577
2457;120;-41;0;509
2520;120;-38;0;509
2583;120;-34;0;509
2646;120;-30;0;509
2709;120;-23;0;509
2772;120;-19;0;456
2835;120;-16;0;456
2898;120;-12;0;456
2961;120;-5;0;456
3024;120;-1;0;456
3087;120;2;0;428
3150;120;5;0;428
3213;120;13;0;428
3276;120;16;0;428
3339;120;20;0;428
3402;120;23;0;428
3465;120;31;0;240
3528;120;34;0;240
3591;120;38;0;240
3654;120;42;0;240
3717;120;47;0;0
3780;120;47;0;0
3843;120;47;0;0
3906;120;47;0;0
3969;120;47;0;0
4032;120;47;0;0
4095;120;47;0;0
4158;120;47;0;0
4221;120;47;51;0
4284;120;47;51;0
4347;120;48;51;487
4410;120;52;51;487
4473;120;59;28;487
4536;120;63;28;487
4599;120;66;28;487
4662;120;70;28;619
4725;120;77;28;619
4788;120;81;28;619
4851;120;84;0;619
4914;120;92;0;163
4977;120;94;0;163
5040;120;97;0;163
5103;120;99;0;163
5166;120;102;0;163
5229;120;107;0;163
5292;120;109;0;0
5355;120;109;0;0
5418;120;109;0;0
5481;120;109;0;0
5544;120;109;0;0
5607;120;109;0;0
5670;120;109;0;63
5733;120;109;0;63
5796;120;109;0;63
5859;120;109;0;63
5922;120;109;0;63
5985;120;115;0;381
6048;120;119;0;381
6111;120;123;0;381
6174;120;126;0;381
6237;120;130;0;0
6300;120;130;0;0
6363;120;130;0;0
6426;120;130;0;0
6489;120;130;0;0
6552;120;130;0;0
6615;120;130;0;0
6678;120;130;0;0
6741;120;130;0;0
6804;120;130;0;0
6867;120;130;0;0
6930;120;130;0;0
6993;120;130;0;0
7056;120;130;0;0
7119;120;130;0;0
7182;120;130;0;0
7245;120;130;0;0
7308;120;130;0;0
7371;120;130;0;0
7434;120;130;0;0
7497;120;130;0;0
7560;120;130;0;0
7623;120;130;0;0
7686;120;130;0;-69
7749;120;130;0;-69
7812;120;130;0;-69
7875;120;130;0;-69
7938;120;130;-93;-69
8001;120;121;-93;-243
8064;120;117;-93;-243
8127;120;112;-93;-243
8190;120;107;-93;-243
8253;117;101;-125;-111
8316;115;99;-125;-111
8379;113;98;-125;-111
8442;112;96;-125;-111
8505;107;93;-714;-111
8568;103;93;-714;-65
8631;99;93;-714;-65
8694;95;93;-714;-65
8757;88;93;-714;-65
8820;86;93;-1041;-65
8883;90;93;-1041;-36
8946;94;93;-1041;-36
9009;102;93;-1041;-36
9072;106;93;-1041;-36
9135;108;93;-811;-36
9198;104;92;-811;-211
9261;97;85;-811;-211
9324;93;82;-811;-211
9387;90;78;-811;-211
9450;86;75;-413;-211
9513;78;67;-413;-400
9576;73;62;-413;-400
9639;68;58;-413;-400
9702;59;48;-413;-400
9765;54;43;-435;-400
9828;50;40;-435;-251
9891;47;36;-435;-251
9954;40;30;-435;-251
10017;36;26;-435;-251
10080;33;23;-337;-251
10143;29;21;-337;-161
10206;24;18;-337;-161
10269;15;14;-337;-161
10332;11;12;-337;-161
10395;6;9;-274;-161
10458;2;6;-274;-197
10521;-7;0;-274;-197
10584;-11;-2;-274;-197
10647;-16;-5;-274;-197
10710;-20;-8;-202;-197
10773;-26;-14;-202;-183
10836;-30;-16;-202;-183
10899;-33;-19;-202;-183
10962;-36;-21;-202;-183
11025;-42;-27;-193;-264
11088;-45;-32;-193;-264
11151;-48;-36;-193;-264
11214;-52;-41;-193;-264
11277;-58;-50;-212;-264
11340;-61;-55;-212;-206
11403;-64;-58;-212;-206
11466;-67;-61;-212;-206
11529;-74;-68;-212;-206
11592;-77;-71;-174;-206
11655;-79;-74;-174;-281
11718;-82;-79;-174;-281
11781;-87;-89;-174;-281
11844;-89;-93;-174;-281
11907;-91;-98;-174;-281
11970;-93;-103;-142;-281
12033;-98;-107;-142;-154
12096;-100;-109;-142;-154
12159;-102;-111;-142;-154
12222;-104;-113;-142;-154
12285;-104;-116;-67;-92
12348;-104;-116;-67;-92
12411;-104;-116;-67;-92
12474;-104;-116;-67;-92
12537;-104;-116;-40;-92
12600;-104;-116;-40;-43
12663;-104;-116;-40;-43
12726;-104;-116;-40;-43
12789;-104;-116;-40;-43
12852;-104;-116;-30;-43
12915;-104;-116;-30;0
12978;-104;-116;-30;0
13041;-104;-116;-30;0
13104;-104;-116;-30;0
13167;-104;-116;-30;0
13230;-104;-116;-30;0
13293;-104;-116;-30;0
13356;-104;-116;-30;0
13419;-104;-116;-30;0
13482;-104;-116;-47;0
13545;-104;-116;-47;0
13608;-104;-116;-47;0
13671;-104;-116;-47;0
13734;-104;-116;-46;0
13797;-104;-116;-46;0
13860;-104;-116;-46;0
13923;-104;-116;-46;0
13986;-104;-116;-46;0
14049;-104;-116;-46;0
14112;-104;-116;-60;0
14175;-104;-116;-60;0
14238;-104;-116;-60;0
14301;-104;-116;-60;0
14364;-104;-116;-60;0
14427;-104;-116;-60;0
14490;-104;-116;0;0
14553;-104;-116;0;0
14616;-104;-116;0;0
14679;-104;-116;0;0
14742;-104;-116;0;0
14805;-104;-116;0;0
14868;-104;-116;0;0
14931;-104;-116;0;0
14994;-104;-116;0;71
15057;-102;-116;454;71
15120;-99;-116;454;71
15183;-95;-116;454;71
15246;-91;-116;454;71
15309;-83;-113;454;160
15372;-79;-111;568;160
15435;-75;-109;568;160
15498;-70;-107;568;160
15561;-62;-103;568;60
15624;-58;-103;568;60
15687;-55;-103;583;60
15750;-51;-103;583;60
15813;-44;-103;583;60
15876;-40;-103;583;39
15939;-37;-103;583;39
16002;-33;-103;583;39
16065;-26;-103;501;39
16128;-22;-103;501;39
16191;-18;-103;501;72
16254;-11;-103;501;72
16317;-8;-103;501;72
16380;-4;-103;458;72
16443;2;-103;458;72
16506;6;-103;458;104
16569;10;-103;458;104
16632;13;-103;458;104
16695;21;-103;496;104
16758;24;-103;496;104
16821;28;-103;496;109
16884;32;-103;496;109
16947;35;-103;496;109
17010;43;-103;514;109
17073;46;-103;514;109
17136;50;-103;514;98
17199;54;-103;514;98
17262;61;-103;494;98
17325;64;-103;494;98
17388;68;-103;494;98
17451;75;-103;494;65
17514;79;-103;494;65
17577;83;-103;439;65
17640;90;-103;439;65
17703;94;-103;439;65
17766;97;-103;439;65
17829;101;-103;439;65
17892;105;-103;276;65
17955;114;-103;276;65
18018;119;-103;276;65
18081;128;-103;276;98
18144;132;-103;62;98
18207;132;-103;62;98
18270;132;-103;62;98
18333;132;-103;62;75
18396;132;-103;62;75
18459;132;-103;0;75
18522;132;-103;0;75
18585;132;-103;0;75
18648;132;-103;0;75
18711;132;-103;0;65
18774;132;-103;0;65
18837;132;-103;0;65
18900;132;-103;0;65
18963;132;-103;0;48
19026;132;-103;0;48
19089;132;-103;0;48
19152;132;-103;0;48
19215;132;-103;0;48
19278;132;-103;0;67
19341;132;-103;0;67
19404;132;-103;0;67
19467;132;-103;0;67
19530;132;-103;0;67
19593;132;-101;0;287
19656;132;-94;-34;287
19719;132;-90;-34;287
19782;132;-87;-34;287
19845;132;-79;-34;414
19908;131;-75;-304;414
19971;127;-71;-304;414
20034;117;-61;-304;414
20097;112;-56;-304;414
20160;108;-52;-304;0
20223;104;-52;-535;0
20286;96;-52;-535;-69
20349;96;-52;-535;-69
20412;89;-52;-535;-69
20475;85;-52;-535;-69
20538;81;-52;-535;-69
20601;73;-52;-491;0
20664;69;-52;-491;0
20727;65;-52;-491;0
20790;62;-52;-491;0
20853;58;-52;-491;0
20916;50;-52;-424;0
20979;46;-52;-424;0
21042;42;-52;-424;0
21105;34;-49;-424;612
21168;29;-44;-424;612
21231;25;-39;-455;612
21294;15;-30;-455;612
21357;10;-25;-455;612
21420;5;-25;-455;844
21483;1;-29;-455;844
21546;-8;-39;-436;844
21609;-13;-44;-436;844
21672;-17;-48;-436;844
21735;-22;-49;-436;1986
21798;-27;-44;-436;1986
21861;-36;-34;-315;1986
21924;-41;-30;-315;1986
21987;-46;-25;-315;1986
22050;-51;-20;-315;422
22113;-60;-10;-315;422
22176;-64;-6;-119;422
22239;-66;-2;-119;422
22302;-67;2;-119;422
22365;-70;10;-119;825
22428;-72;14;-119;825
22491;-73;18;-91;825
22554;-73;22;-91;825
22617;-73;29;-91;911
22680;-73;26;-91;911
22743;-73;22;-91;911
22806;-73;19;-76;911
22869;-73;12;-76;911
22932;-73;8;-76;911
22995;-73;11;-76;1396
23058;-73;15;-76;1396
23121;-73;22;-56;1396
23184;-73;26;-56;1396
23247;-73;29;-56;1396
23310;-73;33;-56;373
23373;-73;40;-56;373
23436;-73;44;-56;373
23499;-73;48;-56;373
23562;-73;55;-56;785
23625;-73;59;-56;785
23688;-73;62;-56;785
23751;-73;66;-81;785
23814;-73;69;-81;785
23877;-73;73;-81;785
23940;-73;80;-81;512
24003;-73;84;-81;512
24066;-78;91;-230;512
24129;-78;91;-230;512
24192;-85;97;-230;0
24255;-88;97;-230;0
24318;-96;97;-671;0
24381;-100;97;-671;0
24444;-104;97;-671;0
24507;-108;97;-671;55
24570;-111;97;-671;55
24633;-119;97;-282;55
24696;-125;97;-282;55
24759;-130;97;-282;55
24822;-136;97;-282;422
24885;-144;106;-282;422
24948;-149;110;-266;422
25011;-152;113;-266;422
25074;-156;117;-266;422
25137;-163;124;-266;422
25200;-166;127;-266;345
25263;-170;130;-266;345
25326;-171;130;-61;345
25389;-171;130;-61;345
25452;-171;130;-61;345
25515;-171;130;-61;140
25578;-171;130;-61;140
25641;-171;130;0;140
25704;-171;130;0;140
25767;-171;130;0;140
25830;-171;130;0;105
25893;-171;130;0;105
25956;-171;130;0;105
26019;-171;130;0;105
26082;-171;130;0;105
26145;-171;130;0;95
26208;-171;130;0;95
26271;-171;130;0;95
26334;-171;130;0;95
26397;-171;130;0;95
26460;-171;130;0;81
26523;-171;130;0;81
26586;-171;130;0;81
26649;-171;130;0;81
26712;-171;130;0;146
26775;-171;130;0;146
26838;-171;130;0;146
26901;-171;130;0;146
26964;-171;130;0;146
27027;-171;130;0;151
27090;-171;130;0;151
27153;-171;130;0;151
27216;-171;130;0;151
27279;-171;130;0;151
27342;-171;130;0;151
27405;-171;130;0;133
27468;-171;130;0;133
27531;-171;130;0;133
27594;-171;130;0;133
27657;-171;130;0;65
27720;-171;130;0;65
27783;-171;130;48;65
27846;-171;130;48;65
27909;-171;130;48;65
27972;-171;130;48;0
28035;-171;130;48;0
28098;-171;130;95;0
28161;-171;130;95;0
28224;-171;130;95;0
28287;-171;130;95;0
28350;-171;130;95;0
28413;-168;129;163;-176
28476;-165;127;163;-176
28539;-163;124;163;-176
28602;-161;122;163;-176
28665;-156;117;199;-176
28728;-154;114;199;-246
28791;-151;110;199;-246
28854;-145;102;199;-246
28917;-142;98;199;-246
28980;-140;94;0;-246
29043;-140;89;0;-306
29106;-140;82;0;-306
29169;-140;82;0;-306
29232;-140;74;0;-306
29295;-140;71;0;-306
29358;-140;67;0;-351
29421;-140;60;0;-351
29484;-140;56;0;-351
29547;-140;53;0;-351
29610;-140;46;0;-351
29673;-140;46;0;-351
29736;-140;36;0;-256
29799;-140;31;0;-256
29862;-140;26;0;-256
29925;-140;17;49;-256
29988;-140;13;49;-202
30051;-140;10;49;-202
30114;-140;3;49;-202
30177;-140;3;49;-202
30240;-139;-2;167;-202
30303;-137;-6;167;-257
30366;-134;-10;167;-257
30429;-130;-18;167;-257
30492;-128;-22;167;-257
30555;-126;-27;108;-257
30618;-126;-31;108;-172
30681;-126;-36;108;-172
30744;-126;-38;108;-172
30807;-126;-41;108;-172
30870;-126;-43;115;-172
30933;-123;-50;115;-266
30996;-121;-55;115;-266
31059;-120;-59;115;-266
31122;-117;-68;57;-266
31185;-117;-72;57;-128
31248;-117;-74;57;-128
31311;-117;-76;57;-128
31374;-117;-79;57;-128
31437;-117;-79;57;-128
31500;-117;-83;54;-157
31563;-117;-85;54;-157
31626;-117;-87;54;-157
31689;-117;-91;54;-157
31752;-117;-93;54;-157
31815;-117;-95;0;-157
31878;-117;-95;0;-68
31941;-117;-95;0;-68
32004;-117;-95;0;-68
32067;-117;-95;0;-68
32130;-117;-95;0;-47
32193;-117;-95;0;-47
32256;-117;-95;0;-47
32319;-117;-95;0;-47
32382;-117;-95;0;-47
32445;-117;-95;0;-96
32508;-117;-95;0;-96
32571;-117;-95;0;-96
32634;-117;-95;0;-96
32697;-117;-95;0;-96
32760;-117;-97;0;-247
32823;-117;-102;0;-247
32886;-117;-106;0;-247
32949;-117;-116;0;-247
33012;-117;-120;0;-247
33075;-117;-124;0;0
33138;-117;-124;0;0
33201;-117;-124;0;0
33264;-117;-124;0;0
33327;-117;-124;0;0
33390;-117;-124;0;0
33453;-117;-124;0;0
33516;-117;-124;0;0
33579;-117;-124;0;0
33642;-117;-124;0;0
33705;-117;-124;0;0
33768;-117;-124;0;0
33831;-117;-124;0;0
33894;-117;-124;0;31
33957;-114;-124;387;31
34020;-110;-124;387;31
34083;-107;-124;387;31
34146;-99;-124;387;31
34209;-95;-122;387;155
34272;-91;-120;387;155
34335;-87;-118;655;155
34398;-79;-114;655;155
34461;-74;-112;655;155
34524;-70;-111;655;59
34587;-67;-111;655;59
34650;-63;-111;779;59
34713;-56;-111;779;59
34776;-52;-111;779;59
34839;-48;-110;779;169
34902;-40;-106;720;169
34965;-36;-104;720;169
35028;-31;-102;720;169
35091;-27;-100;720;169
35154;-20;-98;720;66
35217;-16;-98;690;66
35280;-12;-98;690;66
35343;-9;-98;690;66
35406;-5;-98;690;66
35469;5;-92;644;186
35532;13;-86;644;186
35595;17;-83;644;186
35658;20;-80;644;43
35721;24;-80;644;43
35784;28;-80;582;43
35847;31;-80;582;43
35910;38;-80;582;43
35973;42;-80;582;43
36036;46;-77;582;242
36099;50;-74;582;242
36162;53;-71;554;242
36225;61;-65;554;242
36288;65;-62;554;242
36351;68;-61;554;70
36414;72;-61;554;70
36477;76;-61;486;70
36540;83;-61;486;70
36603;87;-61;486;70
36666;90;-60;486;120
36729;98;-57;321;120
36792;102;-55;321;120
36855;106;-54;321;120
36918;114;-51;321;95
36981;117;-51;321;95
37044;121;-51;201;95
37107;124;-51;201;95
37170;127;-51;201;95
37233;134;-50;201;158
37296;136;-48;201;158
37359;138;-44;0;158
37422;138;-42;0;158
37485;138;-40;0;158
37548;138;-38;0;96
37611;138;-38;0;96
37674;138;-38;0;96
37737;138;-38;0;96
37800;138;-38;0;96
37863;138;-38;0;65
37926;138;-38;0;65
37989;138;-38;0;65
38052;138;-38;0;65
38115;138;-38;0;65
38178;138;-38;0;0
38241;138;-38;0;0
38304;138;-38;90;0
38367;138;-38;90;0
38430;138;-38;90;0
38493;138;-38;90;0
38556;138;-38;90;0
38619;138;-38;76;0
38682;138;-38;76;0
38745;138;-38;76;0
38808;138;-38;76;0
38871;138;-38;76;0
38934;138;-38;0;0
38997;138;-41;0;-269
39060;138;-50;0;-269
39123;138;-55;0;-269
