x;y
-173;114
-173;109
-173;106
-173;102
-173;98
-173;95
-173;91
-173;84
-172;80
-170;76
-167;68
-166;63
-164;59
-164;55
-164;52
-164;45
-164;41
-164;37
-164;30
-164;26
-164;23
-164;15
-163;11
-161;7
-160;3
-157;-5
-155;-9
-153;-14
-152;-18
-148;-27
-146;-31
-144;-35
-143;-40
-143;-44
-143;-54
-143;-59
-143;-64
-143;-68
-140;-77
-138;-81
-135;-87
-133;-90
-133;-92
-133;-95
-133;-100
-133;-102
-133;-104
-133;-106
-133;-108
-133;-111
-133;-113
-133;-115
-133;-117
-133;-121
-133;-121
-133;-125
-133;-126
-133;-128
-133;-130
-133;-130
