x;y
-133;-130
-133;-130
-132;-130
-129;-130
-127;-130
-126;-130
-124;-130
-117;-130
-114;-130
-110;-130
-106;-130
-99;-130
-95;-130
-92;-130
-88;-130
-80;-128
-76;-126
-72;-124
-68;-122
-59;-118
-55;-116
-52;-114
-44;-111
-44;-111
-36;-108
-32;-107
-25;-107
-21;-107
-18;-107
-14;-107
-7;-105
-3;-103
0;-102
4;-100
8;-98
16;-97
19;-97
23;-97
27;-97
34;-97
38;-95
46;-92
49;-91
53;-89
57;-87
61;-87
65;-87
72;-87
76;-87
79;-87
83;-86
92;-82
96;-80
100;-78
108;-75
112;-75
115;-75
119;-75
123;-75
126;-75
132;-72
132;-70
132;-68
132;-66
