x;y
190;-130
190;-130
190;-130
190;-130
190;-130
190;-130
186;-130
182;-130
178;-130
170;-125
165;-123
161;-121
156;-118
148;-116
144;-116
140;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
139;-116
138;-116
134;-116
127;-116
123;-116
119;-116
115;-116
111;-116
104;-116
99;-113
95;-111
91;-109
91;-107
91;-103
91;-99
91;-95
91;-92
84;-85
77;-78
73;-74
70;-71
73;-66
77;-61
82;-57
90;-49
93;-46
100;-39
104;-36
108;-32
112;-28
116;-24
117;-15
115;-10
114;-7
113;-7
112;-7
106;-7
102;-7
98;-7
94;-7
87;-8
82;-10
78;-12
73;-15
64;-19
60;-21
56;-21
52;-21
44;-21
41;-21
33;-21
29;-21
25;-21
22;-19
18;-15
15;-12
20;-5
24;-2
28;2
33;7
38;11
48;21
53;26
61;28
65;28
69;28
73;28
77;28
84;28
88;28
92;27
97;25
102;22
106;20
117;13
